d_date_only,t_start,t_end,t_title,t_description_x,t_link_x,t_image,t_crew_x,t_song_list,v_jamdate,v_rating,v_namedate,v_author,v_description_y,v_location,v_summary,v_link_y,v_pubDate,v_category,v_explicit,v_duration,v_keywords,v_enclosure_url,v_enclosure_length,v_enclosure_type,v_crew_y,v_jam summary,v_song_list,d_proper_date,d_date,f_singles,l_loops,d_crew_merged,v_song_list_cleanedup,d_merged_song_lists
Aug 22 2001,Aug 22 2001 18:00:00 EST,Aug 22 2001 21:00:00 EST,Aug 22,,/songs/20010822.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, T-Bone, Trebor","Christmas at My House, Swallow Me Whole, Push It Away",,,,,,,,,,,,,,,,,,,,Aug 22 2001,2001-08-22,"20010822_1.mp3, 20010822_2.mp3, 20010822_3.mp3",,"Maximus, SRC, Snuffler, TBonk, Trebor",,"Christmas at My House, Swallow Me Whole, Push It Away"
Oct 10 2001,Oct 10 2001 18:00:00 EST,Oct 10 2001 21:00:00 EST,Oct 10,,/songs/20011010.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone, Trebor","Real Pick Me Up, Osama, A Sense of It, jah is lov, Fred Schneider Hangover, Waxy Motherfucker and Monkey's Paw, no song, Yah Yah Yah!",,,,,,,,,,,,,,,,,,,,Oct 10 2001,2001-10-10,"20011010_1.mp3, 20011010_2.mp3, 20011010_3.mp3, 20011010_4.mp3, 20011010_5.mp3, 20011010_6.mp3, 20011010_8.mp3",,"Maximus, SRC, Snuffler, SweetP, TBonk, Trebor",,"Real Pick Me Up, Osama, A Sense of It, jah is lov, Fred Schneider Hangover, Waxy Motherfucker and Monkey's Paw, no song, Yah Yah Yah!"
Nov 07 2001,Nov 7 2001 18:00:00 EST,Nov 7 2001 21:00:00 EST,Nov 7,,/songs/20011107.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone, Trebor","Psilopsychic, Passing Fancy, Killing Time",,,,,,,,,,,,,,,,,,,,Nov 07 2001,2001-11-07,"20011107_1.mp3, 20011107_2.mp3, 20011107_3.mp3",,"Maximus, SRC, Snuffler, SweetP, TBonk, Trebor",,"Psilopsychic, Passing Fancy, Killing Time"
Nov 17 2001,Nov 17 2001 18:00:00 EST,Nov 17 2001 21:00:00 EST,Nov 17,,/songs/20011117.mp3,images/jam/blank.jpg,"Maximus, The Giant Peach, Pchoff, Snuffler, SRC, Stu, Sweet, T-Bone, Trebor, Zig","Nightmood, Fever, True Life",,,,,,,,,,,,,,,,,,,,Nov 17 2001,2001-11-17,"20011117_1.mp3, 20011117_2.mp3, 20011117_3.mp3",,"Giant Peach, Maximus, PChoff, SRC, Snuffler, Stu, SweetP, TBonk, Trebor, Zig",,"Nightmood, Fever, True Life"
Dec 12 2001,Dec 12 2001 18:00:00 EST,Dec 12 2001 21:00:00 EST,Dec 12,,/songs/20011212.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, T-Bone, Trebor","Sunflower, You Was There, Double Barrel Sissy, Lil' Paul, Nabbed, Serious Cracker, What It's All About",,,,,,,,,,,,,,,,,,,,Dec 12 2001,2001-12-12,"20011212_1.mp3, 20011212_2.mp3, 20011212_3.mp3, 20011212_4.mp3, 20011212_5.mp3, 20011212_6.mp3, 20011212_7.mp3",,"Maximus, SRC, Snuffler, SweetP, TBonk, Trebor",,"Sunflower, You Was There, Double Barrel Sissy, Lil' Paul, Nabbed, Serious Cracker, What It's All About"
May 02 2002,May 2 2002 18:00:00 EST,May 2 2002 21:00:00 EST,May 2,,/songs/20020502.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stone Golem, Sweet, Trebor","Key of Angst, Any Way You Slice It, Trying to Get Us There, Sidereal Muse",,,,,,,,,,,,,,,,,,,,May 02 2002,2002-05-02,"20020502_1.mp3, 20020502_2.mp3, 20020502_3.mp3, 20020502_4.mp3",,"Maximus, SRC, Snuffler, Stone Golem, SweetP, Trebor",,"Key of Angst, Any Way You Slice It, Trying to Get Us There, Sidereal Muse"
Oct 24 2002,Oct 24 2002 18:00:00 EST,Oct 24 2002 21:00:00 EST,Oct 24,,/songs/20021024.mp3,images/jam/20021024.jpg,"Ankhboy, Maximus, Snuffler, SRC, Stu, Sweet, T-Bone, Trebor","Flesh Machine, Fountain of Stillness, Getting Old, Hollow Body, Addict",,**** Snuffler Rating,,,,,,,,,,,,,,,,,,Oct 24 2002,2002-10-24,"StormPigs20021024_1_fleshmachine.mp4, StormPigs20021024_2_fountainofstillness.mp4, StormPigs20021024_3_gettingold.mp4, StormPigs20021024_4_hollowbody.mp4, StormPigs20021024_5_likeadrugaddict.mp4",,"Ankhboy, Maximus, SRC, Snuffler, Stu, SweetP, TBonk, Trebor",,"Flesh Machine, Fountain of Stillness, Getting Old, Hollow Body, Addict"
Nov 25 2002,Nov 25 2002 18:00:00 EST,Nov 25 2002 21:00:00 EST,Nov 25,,/songs/20021125.mp3,/images/jam/blank.jpg,"?,?,Snuffler",,,,,,,,,,,,,,,,,,,,,Nov 25 2002,2002-11-25,,,"Snuffler, unknown",,
Dec 18 2002,Dec 18 2002 18:00:00 EST,Dec 18 2002 21:00:00 EST,Dec 18,,/songs/20021218.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Sweet, Stu, Trebor",,,,,,,,,,,,,,,,,,,,,Dec 18 2002,2002-12-18,,,"Maximus, SRC, Snuffler, Stu, SweetP, Trebor",,
Jan 22 2003,Jan 22 2003 18:00:00 EST,Jan 22 2003 21:00:00 EST,Jan 22,,/songs/20030122.mp3,/images/jam/blank.jpg,"?,?,Snuffler",,,,,,,,,,,,,,,,,,,,,Jan 22 2003,2003-01-22,,,"Snuffler, unknown",,
Jul 15 2003,Jul 15 2003 18:00:00 EST,Jul 15 2003 21:00:00 EST,Jul 15,,/songs/20030715.mp3,images/jam/blank.jpg,"Maximus, NickDub, Ourance, Snuffler, SRC, T-Bone, Trebor",,,,,,,,,,,,,,,,,,,,,Jul 15 2003,2003-07-15,,,"Maximus, NickDub, Ourance, SRC, Snuffler, TBonk, Trebor",,
Sep 10 2003,Sep 10 2003 18:00:00 EST,Sep 10 2003 21:00:00 EST,Sep 10,,/songs/20030910.mp3,images/jam/20030910.jpg,"Maximus, Snuffler, SRC, Stu, T-Bone, Trebor",The Smackdown () The Maximus Swing () Straight Eye for the Queer Guy () Blues Bounce Tirade () Take Out () Limited Respect () The Christmas He Died () Sounding () What Happened to Curtis Martin?,2003-09-10,**** Snuffler rating,StormPigs20030910,StormPigs,"H264. Maximus, Snuffler, SRC, Stu, Tbonk, Trebor. Rock the house with abandon, the decades best.  Smash Studios, NYC. September 10, 2003. 1:01:40 minutes long.
<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:00:34 20030910 dvd title <br>
2 0:00:34-0:04:35 the smackdown * <br>
3 0:04:35-0:11:47 straight eye * <br>
4 0:11:47-0:23:41 snowball from hell * <br>
5 0:23:41-0:32:25 limited respect * <br>
6 0:32:25-0:34:50 christmas he died * <br>
7 0:34:50-0:50:45 sounding * <br>
8 0:50-45-1:01:40 Curtis Martin * <br>
* - superlative jam","Smash Studios, NYC. September 10, 2003. 1:01:40 minutes long.","H264. Maximus, Snuffler, SRC, Stu, Tbonk, Trebor. Rock the house with abandon, the decades best.  Smash Studios, NYC. September 10, 2003. 1:01:40 minutes long.",http://www.stormpigs.com/video/StormPigs20030910.mp4,"Sun, 12 Mar 2006 18:12:50 EST",Rock,Yes,1:01:40,"stormpigs,rock,psychadelic,blues,jam",http://www.stormpigs.com/video/StormPigs20030910.mp4,311795550.0,video/quicktime,"Maximus, Snuffler, SRC, Stu, Tbonk, Trebor","Rock the house with abandon, the decades best","<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:00:34 20030910 dvd title <br>
2 0:00:34-0:04:35 the smackdown * <br>
3 0:04:35-0:11:47 straight eye * <br>
4 0:11:47-0:23:41 snowball from hell * <br>
5 0:23:41-0:32:25 limited respect * <br>
6 0:32:25-0:34:50 christmas he died * <br>
7 0:34:50-0:50:45 sounding * <br>
8 0:50-45-1:01:40 Curtis Martin * <br>
* - superlative jam",Sep 10 2003,2003-09-10,"StormPigs20030910_1_20030910dvdtitle.mp4, StormPigs20030910_2_thesmackdown.mp4, StormPigs20030910_3_straighteye.mp4, StormPigs20030910_4_snowballfromhell.mp4, StormPigs20030910_5_limitedrespect.mp4, StormPigs20030910_6_christmashedied.mp4, StormPigs20030910_7_sounding.mp4, StormPigs20030910_8_CurtisMartin.mp4",,"Maximus, SRC, Snuffler, Stu, TBonk, Trebor","20030910 dvd title, the smackdown *, straight eye *, snowball from hell *, limited respect *, christmas he died *, sounding *","20030910 dvd title, the smackdown *, straight eye *, snowball from hell *, limited respect *, christmas he died *, sounding *"
Dec 04 2003,Dec 4 2003 18:00:00 EST,Dec 4 2003 21:00:00 EST,Dec 4,,/songs/20031204.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu, T-Bone, Trebor",,,,,,,,,,,,,,,,,,,,,Dec 04 2003,2003-12-04,,,"Maximus, SRC, Snuffler, Stu, TBonk, Trebor",,
Jan 21 2004,Jan 21 2004 18:00:00 EST,Jan 21 2004 21:00:00 EST,Jan 21,,,images/jam/blank.jpg,"Maximus, Ourance, Snuffler, SRC, Stu, Sweet, T-Bone, Trebor",,,,,,,,,,,,,,,,,,,,,Jan 21 2004,2004-01-21,,,"Maximus, Ourance, SRC, Snuffler, Stu, SweetP, TBonk, Trebor",,
Feb 24 2004,Feb 24 2004 18:00:00 EST,Feb 24 2004 21:00:00 EST,Feb 24,,,images/jam/20040224.jpg,"Maximus, Ourance, PChoff, Snuffler, SRC, Stu, Sweet, T-Bone, Trebor","Ourance, Pchoff, Maximus, Snuffler, SRC, Stu, Trebor",,,,,,,,,,,,,,,,,,,,Feb 24 2004,2004-02-24,,,"Maximus, Ourance, PChoff, SRC, Snuffler, Stu, SweetP, TBonk, Trebor",,"Ourance, Pchoff, Maximus, Snuffler, SRC, Stu, Trebor"
May 04 2004,May 4 2004 18:00:00 EST,May 4 2004 21:00:00 EST,May 4,,/songs/20040504.mp3,images/jam/blank.jpg,"Maximus, NickDub, Snuffler, SRC, Stu, T-Bone",,,,,,,,,,,,,,,,,,,,,May 04 2004,2004-05-04,,,"Maximus, NickDub, SRC, Snuffler, Stu, TBonk",,
Jul 20 2004,Jul 20 2004 18:00:00 EST,Jul 20 2004 21:00:00 EST,Jul 20,,/songs/20040720.mp3,images/jam/20040720.jpg,"Maximus, Ourance, Snuffler, SRC, Stu, T-Bone, Trebor",,,,,,,,,,,,,,,,,,,,,Jul 20 2004,2004-07-20,,,"Maximus, Ourance, SRC, Snuffler, Stu, TBonk, Trebor",,
Aug 18 2004,Aug 18 2004 18:00:00 EST,Aug 18 2004 21:00:00 EST,Aug 18,,,images/jam/20040818.jpg,"Cosmic Chef, Max, Ourance, Snuffler, SRC, Stu, Trebor",,,,,,,,,,,,,,,,,,,,,Aug 18 2004,2004-08-18,,,"Maximus, Ourance, SRC, Snuffler, Stu, SweetP, Trebor",,
Sep 22 2004,Sep 22 2004 18:00:00 EST,Sep 22 2004 21:00:00 EST,Sep 22,,,images/jam/20040922.jpg,"Max, NickDub, Snuffler, SRC, Stu, Sweet, T-Bone, Tedmos, Trebor",,,,,,,,,,,,,,,,,,,,,Sep 22 2004,2004-09-22,,,"Maximus, NickDub, SRC, Snuffler, Stu, SweetP, TBonk, Tedmos, Trebor",,
Oct 07 2004,Oct 7 2004 18:00:00 EST,Oct 7 2004 21:00:00 EST,Oct 7,,,images/jam/20041007.jpg,"Ankhboy, Maximus, Snuffler, Stu",,,,,,,,,,,,,,,,,,,,,Oct 07 2004,2004-10-07,,,"Ankhboy, Maximus, Snuffler, Stu",,
Dec 05 2004,Dec 5 2004 18:00:00 EST,Dec 5 2004 21:00:00 EST,Dec 5,,/songs/20041205.mp3,images/jam/blank.jpg,"Maximus, Snuffler, Stu",,,,,,,,,,,,,,,,,,,,,Dec 05 2004,2004-12-05,,,"Maximus, Snuffler, Stu",,
Dec 21 2004,Dec 21 2004 18:00:00 EST,Dec 21 2004 21:00:00 EST,Dec 21,,/songs/20041221.mp3,images/jam/blank.jpg,"Maximus, NickDub, Ourance, Snuffler, T-Bone",,,,,,,,,,,,,,,,,,,,,Dec 21 2004,2004-12-21,"20041221_1.mp3, 20041221_2.mp3, 20041221_3.mp3, 20041221_4.mp3, 20041221_5.mp3",,"Maximus, NickDub, Ourance, Snuffler, TBonk",,
Mar 03 2005,Mar 3 2005 18:00:00 EST,Mar 3 2005 21:00:00 EST,Mar 3,,/songs/20050303.mp3,images/jam/blank.jpg,"Maximus, Snuffler, SRC, Stu, T-Bone, Trebor","March to War, Buddha Screams, Object May Appear Closer, Offending the White Man, Airwave Lament, Cooped Up and We Ain't No Chickens, Small Letters, Spooge, Empty Your Mind, T-bonus Track",,,,,,,,,,,,,,,,,,,,Mar 03 2005,2005-03-03,"20050303_1.mp3, 20050303_10.mp3, 20050303_2.mp3, 20050303_3.mp3, 20050303_4.mp3, 20050303_5.mp3, 20050303_6.mp3, 20050303_7.mp3, 20050303_8.mp3, 20050303_9.mp3",,"Maximus, SRC, Snuffler, Stu, TBonk, Trebor",,"March to War, Buddha Screams, Object May Appear Closer, Offending the White Man, Airwave Lament, Cooped Up and We Ain't No Chickens, Small Letters, Spooge, Empty Your Mind, T-bonus Track"
Apr 05 2005,Apr 5 2005 18:00:00 EST,Apr 5 2005 21:00:00 EST,Apr 5,,/songs/20050405.mp3,images/jam/blank.jpg,"Maximus, NickDub, Snuffler, SRC, Stu, T-Bone, Trebor",,,,,,,,,,,,,,,,,,,,,Apr 05 2005,2005-04-05,,,"Maximus, NickDub, SRC, Snuffler, Stu, TBonk, Trebor",,
May 26 2005,May 26 2005 18:00:00 EST,May 26 2005 21:00:00 EST,May 26,,/songs/20050526.mp3,images/jam/20050526.jpg,"EvilG, Jules, Maximus, NickDub, Ourance, Snuffler, Snopes, SRC, Stu, T-Bone, Trebor",,,,,,,,,,,,,,,,,,,,,May 26 2005,2005-05-26,,,"EvilG, Jules, Maximus, NickDub, Ourance, SRC, Snopes, Snuffler, Stu, TBonk, Trebor",,
Jun 23 2005,Jun 23 2005 18:00:00 EST,Jun 23 2005 21:00:00 EST,Jun 23,,/songs/20050623.mp3,images/jam/blank.jpg,"EvilG, Maximus, NickDub, Snuffler, SRC, Stu",,,,,,,,,,,,,,,,,,,,,Jun 23 2005,2005-06-23,,,"EvilG, Maximus, NickDub, SRC, Snuffler, Stu",,
Jul 20 2005,Jul 20 2005 18:00:00 EST,Jul 20 2005 21:00:00 EST,Jul 20,,/songs/20050720.mp3,/images/jam/blank.jpg,"?,?,Snuffler",,,,,,,,,,,,,,,,,,,,,Jul 20 2005,2005-07-20,,,"Snuffler, unknown",,
Jul 21 2005,Jul 21 2005 18:00:00 EST,Jul 21 2005 21:00:00 EST,Jul 21,,,images/jam/20050721.jpg,"EvilG, Max, Ourance, Snuffler, SRC, Stu, Tbonk",Exposed (:00-7:22) Death Valley (7:30-20:51) Pumpkin Song (Rock Against Terror) (21:06-31:08) Ramming Speed (31:10-36:51) filthy interlude (36:51-37:41) Nothing but Bad Noose (37:51-45:52) Is This the Caribbean? (46:00-55:56) Town Called Malice (56:00-57:29) Sparks (57:35-1:04:11) Sympathy for el Space Diablo (1:04:15-1:06:38) The Joker (Drunken Boxing remix) / My Scrotum (1:06:45-1:12:14) Didn't Know What I Didn't Know (1:14:25-1:20:30) No Turning Back (1:20:30-1:28:38),2005-07-21,** 1/2 Snuffler rating,StormPigs20050721,StormPigs,"H264. Evil G, Maximus, Ourance, Snuffler, SRC, Stu, Tbonk. Sweating in a very sunlight pen.  Smash Studios, NYC. July 21, 2005. 1:28:38 long.
<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:07:22 Exposed <br>
2 0:07:30-0:20:51 Death Valley <br>
3 0:21:06-0:31:08 Pumpkin Song Rock Against Terror * <br>
4 0:31:10-0:36:51 Ramming Speed * <br>
5 0:36:51-0:37:41 filthy interlude <br>
6 0:37:51-0:45:52 Nothing but Bad Noose * <br>
7 0:46:00-0:55:56 Is This the Caribbean? <br>
8 0:56:00-0:57:29 Town Called Malice * <br>
9 0:57:35-1:04:11 Sparks * <br>
10 1:04:15-1:06:38 Sympathy for el Space Diablo <br>
11 1:06:45-1:12:14 The Joker Drunken Boxing remix / My Scrotum <br>
12 1:14:25-1:20:30 Didn't Know What I Didn't Know <br>
13 1:20:30-1:28:38 No Turning Back <br>
* - superlative jam","Smash Studios, NYC. July 21, 2005. 1:28:38 long.","H264. Evil G, Maximus, Ourance, Snuffler, SRC, Stu, Tbonk. Sweating in a very sunlight pen. Smash Studios, NYC. July 21, 2005. 1:28:38 long.",http://www.stormpigs.com/video/StormPigs20050721.mp4,"Sun, 22 Oct 2006 23:52:50 EDT",Rock,Yes,1:28:38,"stormpigs,rock,psychadelic,blues,jam",http://www.stormpigs.com/video/StormPigs20050721.mp4,278222946.0,video/quicktime,"Evil G, Maximus, Ourance, Snuffler, SRC, Stu, Tbonk",Sweating in a very sunlight pen,"<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:07:22 Exposed <br>
2 0:07:30-0:20:51 Death Valley <br>
3 0:21:06-0:31:08 Pumpkin Song Rock Against Terror * <br>
4 0:31:10-0:36:51 Ramming Speed * <br>
5 0:36:51-0:37:41 filthy interlude <br>
6 0:37:51-0:45:52 Nothing but Bad Noose * <br>
7 0:46:00-0:55:56 Is This the Caribbean? <br>
8 0:56:00-0:57:29 Town Called Malice * <br>
9 0:57:35-1:04:11 Sparks * <br>
10 1:04:15-1:06:38 Sympathy for el Space Diablo <br>
11 1:06:45-1:12:14 The Joker Drunken Boxing remix / My Scrotum <br>
12 1:14:25-1:20:30 Didn't Know What I Didn't Know <br>
13 1:20:30-1:28:38 No Turning Back <br>
* - superlative jam",Jul 21 2005,2005-07-21,,,"EvilG, Maximus, Ourance, SRC, Snuffler, Stu, TBonk","Exposed, Death Valley, Pumpkin Song Rock Against Terror *, Ramming Speed *, filthy interlude, Nothing but Bad Noose *, Is This the Caribbean?, Town Called Malice *, Sparks *, Sympathy for el Space Diablo, The Joker Drunken Boxing remix / My Scrotum, Didn't Know What I Didn't Know, No Turning Back","Exposed, Death Valley, Pumpkin Song Rock Against Terror *, Ramming Speed *, filthy interlude, Nothing but Bad Noose *, Is This the Caribbean?, Town Called Malice *, Sparks *, Sympathy for el Space Diablo, The Joker Drunken Boxing remix / My Scrotum, Didn't Know What I Didn't Know, No Turning Back"
Nov 05 2005,Nov 5 2005 18:00:00 EST,Nov 5 2005 21:00:00 EST,Nov 5,,/songs/20051105.mp3,images/jam/blank.jpg,"Ironlung, Snuffler, NickDub, PChoff",,,,,,,,,,,,,,,,,,,,,Nov 05 2005,2005-11-05,,,"Ironlung, NickDub, PChoff, Snuffler",,
Dec 21 2005,Dec 21 2005 18:00:00 EST,Dec 21 2005 21:00:00 EST,Dec 21,,/songs/20051221.mp3,images/jam/blank.jpg,"T-Bone, Snuffler, NickDub, EvilG",,,,,,,,,,,,,,,,,,,,,Dec 21 2005,2005-12-21,,,"EvilG, NickDub, Snuffler, TBonk",,
Jan 17 2006,Jan 17 2006 18:00:00 EST,Jan 17 2006 21:00:00 EST,Jan 17,,/songs/20060117.mp3,images/jam/blank.jpg,"Alfonse D'Sax, EvilG, Maximus, NickDub, Snuffler, T-Bone",,,,,,,,,,,,,,,,,,,,,Jan 17 2006,2006-01-17,,,"Alfonse D'Sax, EvilG, Maximus, NickDub, Snuffler, TBonk",,
Feb 22 2006,Feb 22 2006 18:00:00 EST,Feb 22 2006 21:00:00 EST,Feb 22,,/songs/20060222.mp3,images/jam/blank.jpg,"EvilG, Maximus, Ourance, PChoff, Snuffler, SRC, T-Bone",,,,,,,,,,,,,,,,,,,,,Feb 22 2006,2006-02-22,,,"EvilG, Maximus, Ourance, PChoff, SRC, Snuffler, TBonk",,
Apr 06 2006,Apr 6 2006 18:00:00 EST,Apr 6 2006 21:00:00 EST,Apr 6,,/songs/20060406.mp3,images/jam/20060406.jpg,"Maximus, NickDub, Snuffler, SRC, Stu, Sweet, Tbonk, Trebor","Stu's Standard (:00-3:55) Spring Cleaning (4:00-15:05) Starlight (15:10-19:40) Hale Mary (19:45-29:40) Sex Farm break (29:40-31:30) Lost in Hallucination (31:35-40:20) Broke Knuckles (40:27-45:35) Simple, Stupid! (45:38-51:40) Until Next Time, Folks! (51:46-56:38)",2006-04-06,*** Snuffler rating,StormPigs20060406,StormPigs,"H264. Maximus, NickDub, Snuffler, SRC, Stu, Sweet, Tbonk, Trebor. Give a most welcome Spring Cleaning to the Grand Dame of the East Coast, flying in the face of convention once more.  Smash Studios, NYC. April 6, 2006. 56:38 long.
<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:03:55 Stu's Standard <br>
2 0:04:00-0:15:05 Spring Cleaning <br>
3 0:15:10-0:19:40 Starlight <br>
4 0:19:45-0:29:40 Hale Mary * <br>
5 0:29:40-0:31:30 Sex Farm break <br>
6 0:31:35-0:40:20 Lost in Hallucination * <br>
7 0:40:27-0:45:35 Broke Knuckles <br>
8 0:45:38-0:51:40 Simple, Stupid! <br>
9 0:51:46-0:56:38 Until Next Time, Folks! * <br>
* - superlative jam","Smash Studios, NYC.  April 6, 2006. 56:38 long.","H264. Maximus, NickDub, Snuffler, SRC, Stu, Sweet, Tbonk, Trebor. Give a most welcome Spring Cleaning to the Grand Dame of the East Coast, flying in the face of convention once more. Smash Studios, NYC. April 6, 2006. 56:38 long.",http://www.stormpigs.com/video/StormPigs20060406.mp4,"Tue, 01 Aug 2006 18:12:50 EDT",Rock,Yes,56:38,"stormpigs,rock,psychadelic,blues,jam",http://www.stormpigs.com/video/StormPigs20060406.mp4,202564954.0,video/quicktime,"Maximus, NickDub, Snuffler, SRC, Stu, Sweet, Tbonk, Trebor","Give a most welcome Spring Cleaning to the Grand Dame of the East Coast, flying in the face of convention once more","<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:03:55 Stu's Standard <br>
2 0:04:00-0:15:05 Spring Cleaning <br>
3 0:15:10-0:19:40 Starlight <br>
4 0:19:45-0:29:40 Hale Mary * <br>
5 0:29:40-0:31:30 Sex Farm break <br>
6 0:31:35-0:40:20 Lost in Hallucination * <br>
7 0:40:27-0:45:35 Broke Knuckles <br>
8 0:45:38-0:51:40 Simple, Stupid! <br>
9 0:51:46-0:56:38 Until Next Time, Folks! * <br>
* - superlative jam",Apr 06 2006,2006-04-06,"StormPigs20060406_11_introducing.mp4, StormPigs20060406_4_mary.mp4, StormPigs20060406_6_hallucination.mp4",,"Maximus, NickDub, SRC, Snuffler, Stu, SweetP, TBonk, Trebor","Stu's Standard, Spring Cleaning, Starlight, Hale Mary *, Sex Farm break, Lost in Hallucination *, Broke Knuckles, Simple, Stupid!, Until Next Time, Folks! *","Stu's Standard, Spring Cleaning, Starlight, Hale Mary *, Sex Farm break, Lost in Hallucination *, Broke Knuckles, Simple, Stupid!, Until Next Time, Folks! *"
Jun 27 2006,Jun 27 2006 18:00:00 EST,Jun 27 2006 21:00:00 EST,Jun 27,,,images/jam/20060627.jpg,"Ankhboy, Ironlung, Maximus, NickDub, Snuffler, SRC, Trebor",Intro (:00-:58) Get Off (:59-8:45) Trebor explains the Ptak Method (8:46-9:20) Wallace (9:20-20:11) Break (20:12-21:18) Shout Out from the Closet (21:25-38:14) Extraneous Matter (38:17-44:55) Mean Ride (45:00-51:53) No Alternative (52:05-1:04:36),2006-06-27,*** 1/2 Snuffler rating,StormPigs20060627,StormPigs,"H264. Ankhboy, Ironlung, Maximus, NickDub, Snuffler, SRC, Trebor. At it again, this time with a wallapin round of funk based sweetness that's tastier than Smuckers.  Smash Studios, NYC. June 27, 2006. 1:04:36 long.
<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:08:22 Get Off <br>
2 0:08:22-0:19:12 Wallace * <br>
3 0:19:12-0:20:19 Break <br>
4 0:20:19-0:37:16 Shout Out from the Closet * <br>
5 0:37:16-0:43:57 Extraneous Matter <br>
6 0:43:57-0:50:58 Mean Ride <br>
7 0:50:58-1:04:36 No Alternative * <br>
* - superlative jam","Smash Studios, NYC. June 27, 2006. 1:04:36 long.","H264. Ankhboy, Ironlung, Maximus, NickDub, Snuffler, SRC, Trebor. At it again, this time with a wallapin round of funk based sweetness that's tastier than Smuckers. Smash Studios, NYC. June 27, 2006. 1:04:36 long.",http://www.stormpigs.com/video/StormPigs20060627.mp4,"Sat, 29 Jul 2006 18:12:50 EDT",Rock,Yes,1:04:58,"stormpigs,rock,psychadelic,blues,jam",http://www.stormpigs.com/video/StormPigs20060627.mp4,341051891.0,video/quicktime,"Ankhboy, Ironlung, Maximus, NickDub, Snuffler, SRC, Trebor","At it again, this time with a wallapin round of funk based sweetness that's tastier than Smuckers","<strong><u>A quick song list</u></strong><br>
1 0:00:00-0:08:22 Get Off <br>
2 0:08:22-0:19:12 Wallace * <br>
3 0:19:12-0:20:19 Break <br>
4 0:20:19-0:37:16 Shout Out from the Closet * <br>
5 0:37:16-0:43:57 Extraneous Matter <br>
6 0:43:57-0:50:58 Mean Ride <br>
7 0:50:58-1:04:36 No Alternative * <br>
* - superlative jam",Jun 27 2006,2006-06-27,"StormPigs20060627_1_GetOff.mp4, StormPigs20060627_2_Wallace.mp4, StormPigs20060627_3_Break.mp4, StormPigs20060627_4_ShoutOutfromtheCloset.mp4, StormPigs20060627_5_ExtraneousMatter.mp4, StormPigs20060627_6_MeanRide.mp4, StormPigs20060627_7_NoAlternative.mp4",,"Ankhboy, Ironlung, Maximus, NickDub, SRC, Snuffler, Trebor","Get Off, Wallace *, Break, Shout Out from the Closet *, Extraneous Matter, Mean Ride, No Alternative *","Get Off, Wallace *, Break, Shout Out from the Closet *, Extraneous Matter, Mean Ride, No Alternative *"
